STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,area_m2,area_sqmi,Harvey_Totals,harvey_Wind,harvey_TMax,harvey_TMin,harvey_Pre,harvey_CERA,Beryl_Totals,Beryl_Wind,Beryl_TMax,Beryl_TMin,Beryl_Pre,Beryl_CERA,Imelda_Totals,Imelda_Wind,Imelda_TMax,Imelda_TMin,Imelda_Pre,Elevation,censusBlockGroupFips,waterDepth
48,201,534002,3,482015340023,1500000US482015340023,Block Group 3,G5030,S,496001,0,+29.9209964,-095.5102880,496000.160268195,0.19150566187955,740.2100219726562,19.71152973175049,96.10982131958008,59.131832122802734,27.787403106689453,0.0,197.3074951171875,22.049488067626953,97.74547576904297,72.50992584228516,4.019563794136047,,209.81100463867188,0.973871111869812,92.57967376708984,70.93689727783203,8.22047233581543,32.07227138643068,482015340023,0.0
48,201,540101,3,482015401013,1500000US482015401013,Block Group 3,G5030,S,8139093,161537,+29.8411388,-095.5843055,8300633.063642104,3.204874425872216,755.4819946289062,20.02897882461548,96.39049339294434,59.513699531555176,30.432584285736084,0.0,243.01229095458984,22.34362554550171,97.2498950958252,72.38054084777832,5.392104506492615,,176.2985076904297,0.0,92.45305252075195,70.93689727783203,8.228112936019897,30.812895685205024,482015401013,0.703125
48,201,540102,1,482015401021,1500000US482015401021,Block Group 1,G5030,S,4842220,10358,+29.8632982,-095.5725484,4852572.825096114,1.873578367769609,738.3715209960938,19.742530822753906,96.24054718017578,59.26210403442383,29.192455291748047,0.0,225.2638397216797,22.2457218170166,97.31350708007812,72.31549072265625,5.429030418395996,,181.69400787353516,0.0,92.4953384399414,70.93689727783203,8.280843257904053,31.794404899851017,482015401021,0.8
48,201,540102,2,482015401022,1500000US482015401022,Block Group 2,G5030,S,4169749,10583,+29.8738484,-095.5937618,4180329.675303415,1.614025287634649,745.4329986572266,19.677980422973633,96.3455581665039,59.34795951843262,30.11128044128418,0.0,222.6936149597168,22.200366973876953,97.23116683959961,72.32191467285156,4.938165664672852,,170.24775314331055,0.0,92.5875981648763,70.93689727783203,6.8449387550354,34.09024995229918,482015401022,0.0
48,201,553403,2,482015534032,1500000US482015534032,Block Group 2,G5030,S,1929843,0,+30.0494852,-095.4834724,1929842.47486466,0.745112179545245,706.0410766601562,17.02065086364746,96.46151733398438,58.42618179321289,28.238479614257812,0.0,163.52789306640625,21.663915634155273,97.02430725097656,72.35477447509766,3.419964790344238,,202.76300048828125,1.791749477386475,93.1778335571289,70.93689727783203,8.828577041625977,38.134274193548386,482015534032,1.0
48,201,350102,2,482013501022,1500000US482013501022,Block Group 2,G5030,S,2253790,34272,+29.5676829,-095.2366429,2288064.209955322,0.88342159146375,1099.5010986328125,21.19901466369629,95.0341567993164,62.4125862121582,39.36045455932617,0.0,228.03518676757812,26.203529357910156,97.21556091308594,74.84953308105469,3.383363485336304,,264.1280212402344,2.841738604009151,91.04200744628906,73.64958190917969,10.657639503479004,11.74260752688172,482013501022,2.0
48,201,554906,1,482015549061,1500000US482015549061,Block Group 1,G5030,S,1157541,8049,+30.0500243,-095.5026604,1165590.315380797,0.450034420768526,700.9580078125,17.02065086364746,96.46151733398438,58.42618179321289,28.238479614257812,0.0,163.17474365234375,21.663915634155273,97.02430725097656,72.35477447509766,3.419964790344238,,180.1624984741211,3.183176279067993,93.48575592041016,70.93689727783203,7.562315940856934,40.05102040816327,482015549061,0.0
48,201,553801,2,482015538012,1500000US482015538012,Block Group 2,G5030,S,2085254,787,+30.0406514,-095.5003095,2086042.1044841467,0.805420856541329,722.6445007324219,17.02065086364746,96.46151733398438,58.42618179321289,28.238479614257812,0.0,169.8726463317871,21.663915634155273,97.02430725097656,72.35477447509766,3.419964790344238,,194.79425048828125,2.169631872326136,93.30951118469238,70.93689727783203,9.064692735671997,38.47080838323353,482015538012,0.0
48,201,521402,1,482015214021,1500000US482015214021,Block Group 1,G5030,S,552626,0,+29.8230453,-095.5017543,552626.1674275538,0.213368963243779,757.2530212402344,20.937625885009766,95.91886138916016,59.94944763183594,26.706008911132812,0.0,272.87713623046875,22.773826599121094,97.88932800292969,72.79068756103516,8.171788215637207,,289.5235137939453,0.0,92.04818725585938,70.93689727783203,10.050116062164307,22.961640211640212,482015214021,0.7142857142857143
48,201,554404,1,482015544041,1500000US482015544041,Block Group 1,G5030,S,2736318,90649,+29.9842060,-095.6482325,2826968.027626205,1.091492355466478,680.009033203125,17.39189338684082,96.58984756469727,58.70882606506348,24.166447639465332,0.0,154.1898956298828,21.48547077178955,96.83891105651855,71.8763542175293,5.562624573707581,,79.52200317382812,0.09550578892231,93.26107025146484,70.93689727783203,3.186849355697632,41.78734036646308,482015544041,0.8571428571428571
